title,release_date,rating,ratings_count,added,genres,tags,developers
Grand Theft Auto V,2013-09-17,4.47,7266,22348,Action,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod,
The Witcher 3: Wild Hunt,2015-05-18,4.64,7091,22021,Action|RPG,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings,
Portal 2,2011-04-18,4.58,6026,20765,Shooter|Puzzle,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science,
Counter-Strike: Global Offensive,2012-08-21,3.57,3609,18322,Shooter,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading,
Tomb Raider (2013),2013-03-05,4.06,4056,17723,Action,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft,
Portal,2007-10-09,4.49,4954,17705,Action|Puzzle,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science,
Left 4 Dead 2,2009-11-17,4.09,3382,17452,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK,
The Elder Scrolls V: Skyrim,2011-11-11,4.42,4862,16734,Action|RPG,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons,
Red Dead Redemption 2,2018-10-26,4.59,5407,16679,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Realistic|Mature|Cinematic|Historical|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person,
BioShock Infinite,2013-03-26,4.38,4145,16035,Action|Shooter,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political,
Half-Life 2,2004-11-16,4.48,4054,16005,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Zombies|Moddable|Captions available|Physics|Aliens|Dystopian|Includes Source SDK|Silent Protagonist|vr mod,
Borderlands 2,2012-09-18,4.02,3292,15950,Action|Shooter|RPG,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|cooperative|Sci-fi|FPS|Online Co-Op|Funny|Comedy|Action RPG|Futuristic|Memes|Stylized|Dark Humor|Loot,
Life is Strange,2015-01-29,4.12,3751,15852,Adventure,Singleplayer|Full controller support|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Third Person|Female Protagonist|Dark|Point & Click|Mystery|Short|Choices Matter|Memes|Walking Simulator|Multiple Endings|Story|Episodic|Soundtrack|Time Travel|Time Manipulation|student|strange|photography,
BioShock,2007-08-21,4.36,3345,14706,Action|Shooter,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Action RPG|Dark|Dystopian|Steampunk|Alternate History|Political|Underwater,
Destiny 2,2017-09-06,3.52,2659,14559,Action|Shooter,Singleplayer|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|Co-op|Open World|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Free to Play|Online multiplayer|Action-Adventure|PvP|Space|combat|Futuristic|Aliens|Story|3rd-Person Perspective|online|MMORPG|PvE|Loot|Lore-Rich|city|console|friends|Masterpiece|weapons|skill|destroy|collect|hunt|gun|rain|enemy|quick|darkness|defender,
God of War (2018),2018-04-20,4.55,5085,14409,Action,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|RPG|Story Rich|Third Person|Fantasy|Gore|Exploration|Violent|Action-Adventure|Action RPG|Hack and Slash|exclusive|3D|Crafting|combat|true exclusive|3rd-Person Perspective|Blood|PvE|Emotional|Souls-like|Mythology|Remote Play on TV,
Fallout 4,2015-11-09,3.81,3396,14210,Action|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Sci-fi|FPS|Exploration|Sandbox|Survival|Action RPG|Third-Person Shooter|Post-apocalyptic,
PAYDAY 2,2013-08-13,3.52,2231,14113,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Great Soundtrack|Co-op|cooperative|First-Person|FPS|Online Co-Op|Funny|Stealth|Tactical|In-App Purchases|Team-Based|Crime|PvE|Heist|Gun Customization,
Limbo,2010-07-21,4.14,3375,14088,Action|Adventure|Indie|Puzzle|Platformer,Singleplayer|Full controller support|Atmospheric|2D|Horror|Difficult|Action-Adventure|Pixel Graphics|Controller|Dark|controller support|Short|Dark Fantasy|Physics|Cinematic|combat|Side Scroller|Linear|Surreal|Puzzle-Platformer|Minimalist|Family Sharing|2D Fighter|Noir|2D Platformer|2D-платформер|2D-файтинг,
Team Fortress 2,2007-10-10,3.68,2923,14011,Action|Shooter,Steam Achievements|Multiplayer|steam-trading-cards|Co-op|cooperative|First-Person|Partial Controller Support|FPS|Online Co-Op|Funny|Comedy|Free to Play|Tactical|stats|Steam Workshop|Cross-Platform Multiplayer|Includes level editor|Moddable|In-App Purchases|Captions available|Crafting|Team-Based|Competitive|Valve Anti-Cheat enabled|Robots|Commentary available|Cartoony|Cartoon|Class-Based|Trading,
DOOM (2016),2016-05-12,4.38,3596,13956,Action|Shooter,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|cooperative|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Gore|Difficult|Classic|Zombies|Memes|Fast-Paced|Remake|Blood|Demons,
Cyberpunk 2077,2020-12-10,4.22,2938,13814,Action|Shooter|RPG,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Sci-fi|FPS|Exploration|Sandbox|Violent|Action-Adventure|Action RPG|role-playing|Nudity|Mature|Cinematic|Futuristic|Sexual Content|Cyberpunk|Crime|Robots|3rd-Person Perspective|Blood|America|Masterpiece|Soundtrack|Hacking|Role Playing Game|immersive|Photorealistic,
Terraria,2011-05-16,4.07,2451,13464,Action|Indie|Platformer,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|2D|Online Co-Op|Exploration|Sandbox|Survival|Online multiplayer|Pixel Graphics|role-playing|Family Friendly|controller support|Replay Value|Crafting|Building|overlay,
Dota 2,2013-07-09,3.07,2837,13138,Action|Massively Multiplayer,Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Online Co-Op|Fantasy|Difficult|Free to Play|Action RPG|Steam Workshop|PvP|In-App Purchases|Character Customization|Replay Value|Team-Based|RTS|Competitive|Valve Anti-Cheat enabled|Tower Defense|MOBA|e-sports|SteamVR Collectibles,
Grand Theft Auto IV,2008-04-29,4.26,3080,13116,Action,Singleplayer|Multiplayer|Atmospheric|Co-op|Open World|cooperative|Third Person|Partial Controller Support|Funny|Gore|Classic|Sandbox|Third-Person Shooter|Moddable|Crime|Dark Humor|Satire|first person mod|Bowling,
Warframe,2013-03-25,3.42,2105,13116,Action|Shooter|RPG|Massively Multiplayer,Singleplayer|Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Third Person|Sci-fi|Partial Controller Support|FPS|Online Co-Op|Free to Play|Third-Person Shooter|Space|role-playing|Hack and Slash|In-App Purchases|Futuristic|Parkour|Cyberpunk|PvE|Ninja|looter shooter,
Rocket League,2015-07-07,3.93,2843,12811,Sports|Racing|Indie,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|Co-op|cooperative|Online Co-Op|Funny|Split Screen|Local Co-Op|Local Multiplayer|stats|Steam Workshop|Cross-Platform Multiplayer|Team-Based|Fast-Paced|Competitive|4 Player Local|4 giocatori divano|Football|Soccer|lan party,
Horizon Zero Dawn,2017-02-28,4.28,3758,12772,Action|RPG,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Sci-fi|Exploration|Female Protagonist|Stealth|Action RPG|role-playing|exclusive|Post-apocalyptic|Cinematic|Futuristic|Robots|3rd-Person Perspective|Drama|Lore-Rich|3rd-person|Experience|open-world|atmosphere,
Metro 2033,2010-03-16,3.94,2263,12692,Action|Shooter,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Horror|FPS|Survival|Stealth|Dark|Survival Horror|Post-apocalyptic|Linear|3D Vision|Based On A Novel|Benchmark,
Rise of the Tomb Raider,2015-11-10,4.04,2781,12335,Action,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Exploration|Steam Leaderboards|Female Protagonist|Survival|Stealth|Action-Adventure|Third-Person Shooter|Parkour|Quick-Time Events|Lara Croft,
Batman: Arkham Knight,2015-06-23,4.24,2664,12204,Action,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Story Rich|Open World|Third Person|Horror|Steam Leaderboards|Sandbox|Stealth|Dark|Mature|Beat 'em up|Detective|Comic Book|Superhero|Batman,
Metal Gear Solid V: The Phantom Pain,2015-09-01,4.16,2518,12152,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|Third Person|Sci-fi|Steam Leaderboards|Sandbox|Stealth|Tactical|Third-Person Shooter|Dark|Captions available|Replay Value|Cinematic|Heist|Horses,
The Witcher 2: Assassins of Kings Enhanced Edition,2012-04-16,4.16,2171,12010,RPG,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Partial Controller Support|Fantasy|Difficult|Steam Leaderboards|Dark|Nudity|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings|Based On A Novel|Nonlinear,
Grand Theft Auto: San Andreas,2004-10-26,4.5,4008,12007,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Partial Controller Support|Funny|Classic|Sandbox|Comedy|Moddable|Mature|Crime|Driving|first person mod|Remote Play on Tablet|Remote Play on Phone|controversial|karaihb,
Apex Legends,2019-02-04,3.63,2403,11993,Action|Shooter,Multiplayer|Full controller support|Atmospheric|Co-op|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Survival|Free to Play|Action-Adventure|Tactical|Dark|PvP|Character Customization|Cinematic|combat|Team-Based|Cyberpunk|Battle Royale|Hero Shooter|lootboxes,
The Witcher: Enhanced Edition Director's Cut,2008-09-16,4.06,2045,11901,Action|RPG,Singleplayer|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Classic|Action RPG|Nudity|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings|Based On A Novel,
Hollow Knight,2017-02-23,4.4,2690,11756,Action|Indie|Platformer,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|2D|Exploration|Difficult|Controller|Cute|controller support|Dark Fantasy|Side Scroller|Multiple Endings|Metroidvania|Hand-drawn|Gothic,
Middle-earth: Shadow of Mordor,2014-09-30,3.91,2539,11714,Action|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Fantasy|Gore|Sandbox|Stealth|Action RPG|Hack and Slash|Dark Fantasy|Magic|Parkour|Assassin|Lore-Rich|Based On A Novel|steam|category|microtranzations,
Half-Life 2: Lost Coast,2005-10-27,3.45,1168,11684,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|First-Person|Sci-fi|FPS|Classic|Free to Play|Short|Futuristic|Aliens|Dystopian|Commentary available|Illuminati|Silent Protagonist|Benchmark,
The Walking Dead: Season 1,2012-04-23,4.36,2472,11643,Action|Adventure,Singleplayer|Full controller support|Atmospheric|Story Rich|Third Person|Horror|Gore|Survival|Zombies|Point & Click|Post-apocalyptic|Choices Matter|Mature|Visual Novel|Drama|Episodic|Comic Book|Choose Your Own Adventure|Quick-Time Events,
Little Nightmares,2017-04-27,4.03,1622,11617,Action|Adventure|Platformer,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Third Person|Horror|Female Protagonist|Stealth|Dark|Survival Horror|controller support|Short|achievements|Puzzle-Platformer|2.5D,
BioShock 2,2010-02-09,4.07,1950,11515,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Horror|FPS|Action RPG|Dark|Dystopian|Linear|Steampunk|Underwater|Philisophical,
Half-Life,1998-11-19,4.37,2417,11466,Action|Shooter,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|FPS|Funny|Difficult|Classic|Retro|Moddable|Aliens|Valve Anti-Cheat enabled|Linear|1990's|Silent Protagonist|vr mod,
Half-Life 2: Episode One,2006-06-01,4.38,2045,11367,Action|Shooter,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Classic|stats|Zombies|Moddable|Captions available|Short|Cinematic|Aliens|Dystopian|Commentary available|Episodic|Includes Source SDK|Silent Protagonist,
Half-Life 2: Episode Two,2007-10-10,4.46,2000,11261,Action|Shooter|Puzzle,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|stats|Zombies|Post-apocalyptic|Captions available|Aliens|Dystopian|Commentary available|Episodic|Includes Source SDK|Silent Protagonist,
Half-Life 2: Deathmatch,2004-11-01,3.29,909,11241,Action,Multiplayer|Atmospheric|Co-op|cooperative|First-Person|Sci-fi|FPS|Funny|Free to Play|Physics|Competitive|Valve Anti-Cheat enabled|Includes Source SDK,
Dark Souls III,2016-04-11,4.4,2755,11166,Action|RPG,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Co-op|Story Rich|Open World|cooperative|Third Person|Horror|Exploration|Difficult|Action RPG|PvP|Character Customization|Replay Value|Dark Fantasy|Lore-Rich,
Stardew Valley,2016-02-25,4.39,2432,10932,RPG|Simulation|Indie,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Co-op|Open World|2D|Partial Controller Support|Sandbox|Pixel Graphics|Retro|role-playing|Cute|Crafting|Building|overlay|Relaxing|Dating Sim|Shared/Split Screen Co-op|cloud saves|Fishing|Agriculture|co-op multiplayer,
BioShock Remastered,2016-09-15,4.24,1415,10897,Shooter,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Horror|FPS|Classic|Dark|Dystopian|Remake|Steampunk|Commentary available|Alternate History|Underwater,
Mirror's Edge,2008-11-11,4.07,2366,10883,Action,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|First-Person|Sci-fi|Partial Controller Support|Classic|Female Protagonist|Short|Colorful|Futuristic|Parkour|Dystopian|Stylized|Time Attack|european,
Hotline Miami,2012-10-22,4.38,2628,10871,Action|Shooter|Arcade|Indie,Singleplayer|Steam Achievements|Atmospheric|steam-trading-cards|Great Soundtrack|2D|Partial Controller Support|Gore|Difficult|Violent|Pixel Graphics|Retro|controller support|Fast-Paced|Top-Down|overlay|Surreal|Music|Top-Down Shooter|1980s|Psychedelic,
Hitman,2016-03-11,3.93,2018,10859,Action|Shooter|Simulation,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Sandbox|Stealth|Tactical|Third-Person Shooter|Nudity|Crime|Assassin|Episodic|Illuminati|Heist,
Outlast,2013-09-03,3.75,1845,10837,Action|Indie,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|First-Person|Sci-fi|Horror|FPS|Gore|Difficult|Survival|Stealth|Dark|Nudity|Survival Horror|controller support|Captions available|Walking Simulator|Parkour|3D Vision,
Deus Ex: Mankind Divided,2016-08-22,3.96,2006,10752,Action|RPG,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Sci-fi|FPS|Stealth|Futuristic|Cyberpunk|Dystopian|Illuminati|Conspiracy|Transhumanism,
Far Cry 3,2012-11-28,4.25,2959,10735,Action|Shooter,Singleplayer|Multiplayer|Atmospheric|RPG|Co-op|Story Rich|Open World|cooperative|First-Person|Partial Controller Support|FPS|Online Co-Op|Sandbox|Survival|Stealth|Nudity|Colorful|Crafting|Hunting,
PlayerUnknown’s Battlegrounds,2017-12-20,3.27,1989,10680,Action|Shooter|Massively Multiplayer,Multiplayer|Co-op|Open World|cooperative|First-Person|FPS|Online Co-Op|Survival|Violent|Online multiplayer|Tactical|Third-Person Shooter|PvP|Battle Royale,
Path of Exile,2013-10-23,3.65,1636,10623,Action|RPG|Massively Multiplayer|Indie,Singleplayer|Steam Achievements|Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Online Co-Op|Fantasy|Free to Play|Online multiplayer|Action RPG|Hack and Slash|In-App Purchases|Character Customization|Dark Fantasy|mmo|Dungeon Crawler|MMORPG|PvE|Loot|Inventory Management|Fishing,
Alan Wake,2010-05-14,4.1,2267,10453,Action|Shooter|Adventure,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|Third Person|Horror|Survival|Third-Person Shooter|Dark|Survival Horror|controller support|Mystery|Cinematic|Episodic|Narration|Supernatural|Thriller|psycholoical-horror|enviroment,
Garry's Mod,2004-12-24,3.8,1596,10418,Action|Adventure|Simulation|Casual|Indie,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|steam-trading-cards|Co-op|First-Person|FPS|Online Co-Op|Funny|Sandbox|Comedy|Steam Workshop|Cross-Platform Multiplayer|Includes level editor|Moddable|Captions available|Physics|Building|Valve Anti-Cheat enabled|vr mod|Mod|Animation & Modeling,
Amnesia: The Dark Descent,2010-09-08,3.65,1229,10416,Action|Adventure|Indie,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|Story Rich|First-Person|Horror|Exploration|Classic|Survival|Stealth|Dark|Moddable|Survival Horror|Captions available|Commentary available|Gothic|Lovecraftian,
Wolfenstein: The New Order,2014-05-19,4.18,2495,10412,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Gore|Steam Leaderboards|Stealth|War|Historical|Dystopian|Robots|World War II|Alternate History,
Marvel's Spider-Man,2018-09-07,4.45,3667,10404,Action,Singleplayer|Atmospheric|Open World|Exploration|Action-Adventure|exclusive|Cinematic|Beat 'em up|true exclusive|3rd-Person Perspective|Comic Book|America|Superhero|new york,
Half-Life Deathmatch: Source,2006-05-01,3.21,729,10381,Action,Multiplayer|First-Person|Sci-fi|Horror|FPS|Classic|Valve Anti-Cheat enabled,
Spec Ops: The Line,2012-06-26,4.1,1936,10381,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|Co-op|Story Rich|Third Person|Horror|Steam Leaderboards|Third-Person Shooter|stats|Dark|Cross-Platform Multiplayer|War|Post-apocalyptic|Mature|Military|Psychological|Based On A Novel|Political|european,
Detroit: Become Human,2018-05-25,4.34,3276,10340,Action|Adventure,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|Third Person|Sci-fi|Exploration|Female Protagonist|Violent|Action-Adventure|exclusive|Replay Value|Choices Matter|Cinematic|Futuristic|Multiple Endings|Cyberpunk|Robots|3rd-Person Perspective|Detective|Drama|Narration|America|Emotional|Beautiful|Dynamic Narration|Remote Play on TV|european|futurism,
Saints Row: The Third,2011-11-15,3.95,2062,10315,Action|Adventure,Singleplayer|Multiplayer|Great Soundtrack|RPG|Co-op|Open World|cooperative|Third Person|Partial Controller Support|Online Co-Op|Funny|Sandbox|Female Protagonist|Comedy|Third-Person Shooter|Zombies|Character Customization|Crime|Satire,
Prey,2017-05-05,4.28,2226,10206,Action|Shooter|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Sci-fi|Horror|FPS|Exploration|Violent|Stealth|Space|Survival Horror|Futuristic|Aliens|Heist|Immersive Sim,
Fallout: New Vegas,2010-10-19,4.42,2596,10170,Action|Shooter|RPG,Singleplayer|Steam Achievements|Atmospheric|RPG|Story Rich|Open World|First-Person|Third Person|Sci-fi|Partial Controller Support|FPS|Exploration|Steam Leaderboards|Sandbox|Survival|Action RPG|Moddable|Character Customization|Post-apocalyptic|Western,
Borderlands,2009-10-20,3.82,2112,10117,Action|Shooter|RPG,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|RPG|Co-op|Open World|cooperative|First-Person|Sci-fi|Partial Controller Support|FPS|Online Co-Op|Funny|Gore|Comedy|Local Co-Op|Action RPG|Post-apocalyptic|Dark Humor|Loot,
The Elder Scrolls V: Skyrim Special Edition,2016-10-27,4.45,1962,10057,Action|RPG,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Classic|Female Protagonist|Stealth|Moddable|Character Customization|Magic|Walking Simulator|Remake|Dragons,
Dishonored 2,2016-11-10,4.26,2017,9979,Action|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|First-Person|Gore|Exploration|Female Protagonist|Stealth|Magic|Parkour|Dystopian|Steampunk|Assassin|Illuminati|Heist|Supernatural|Immersive Sim,
Don't Starve Together,2016-04-21,3.77,1390,9942,Action|Simulation|Indie,Singleplayer|Multiplayer|Full controller support|Atmospheric|steam-trading-cards|Co-op|Open World|cooperative|2D|Horror|Online Co-Op|Funny|Difficult|Sandbox|Survival|Local Co-Op|Steam Workshop|Cross-Platform Multiplayer|Survival Horror|Crafting|Roguelike,
Dishonored,2012-09-25,4.38,2711,9936,Action|Adventure|RPG,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|RPG|Story Rich|Open World|First-Person|Sci-fi|FPS|Fantasy|Stealth|Dark|Replay Value|Magic|Multiple Endings|Dystopian|Steampunk|Assassin,
Hellblade: Senua's Sacrifice,2017-08-07,4.22,2288,9874,Action|Adventure|Indie,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Story Rich|Third Person|Horror|Fantasy|Female Protagonist|Violent|Action-Adventure|Dark|Hack and Slash|Dark Fantasy|Realistic|Walking Simulator|Blood|Psychological|Mythology,
Company of Heroes 2,2013-06-25,3.1,870,9869,Strategy,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Co-op|cooperative|Online Co-Op|Tactical|stats|Steam Workshop|War|Historical|RTS|Military|Base Building|World War II|Real-Time with Pause|Real-Time|Tanks,
Injustice: Gods Among Us Ultimate Edition,2013-11-12,3.53,1418,9854,Action|Arcade|Fighting,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|2D|Gore|Steam Leaderboards|Controller|Local Multiplayer|Competitive|Beat 'em up|3D Vision|2.5D|Comic Book|Superhero|2D Fighter|Batman,
Grand Theft Auto: Vice City,2002-10-27,4.44,3064,9814,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Open World|Third Person|Partial Controller Support|Funny|Classic|Sandbox|Violent|Third-Person Shooter|Moddable|Mature|Crime|Driving|1980s|first person mod,
Sid Meier's Civilization V,2010-09-21,4.29,2012,9757,Strategy,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|steam-trading-cards|Great Soundtrack|Co-op|cooperative|Classic|Tactical|Moddable|Turn-Based|Replay Value|Historical|Turn-Based Strategy|Economy|Grand Strategy|Touch-Friendly|Education|4X|Hex Grid|Diplomacy,
Hitman: Absolution,2012-11-19,3.75,1641,9739,Action|Shooter,Singleplayer|Multiplayer|Atmospheric|Story Rich|Third Person|Partial Controller Support|Difficult|Stealth|Controller|Tactical|Third-Person Shooter|Replay Value|Cinematic|Crime|Linear|Assassin|Score Attack,
Assassin’s Creed IV: Black Flag,2013-10-29,4.15,2628,9704,Action,Singleplayer|Multiplayer|Atmospheric|RPG|Story Rich|Open World|Third Person|Exploration|Sandbox|Stealth|Action-Adventure|Action RPG|Mature|Historical|Parkour|Assassin|Pirates|Naval,
L.A. Noire,2011-05-17,4.16,2058,9691,Action|Adventure,Singleplayer|Atmospheric|RPG|Story Rich|Open World|Third Person|Partial Controller Support|Third-Person Shooter|Nudity|Mystery|Mature|Cinematic|Crime|3D Vision|Detective|Noir|Investigation,
Super Meat Boy,2010-10-20,3.98,1759,9677,Indie|Platformer,Singleplayer|Steam Achievements|Full controller support|steam-trading-cards|Great Soundtrack|2D|Funny|Gore|Difficult|Steam Leaderboards|Comedy|Pixel Graphics|Controller|Retro|Replay Value|Side Scroller|Fast-Paced|Level Editor|Time Attack|Precision Platformer,
For Honor,2017-02-13,3.3,1677,9668,Action|Massively Multiplayer,Singleplayer|Multiplayer|Atmospheric|steam-trading-cards|RPG|Co-op|Story Rich|cooperative|Third Person|Partial Controller Support|Online Co-Op|Fantasy|Gore|Online multiplayer|PvP|Hack and Slash|War|Realistic|Medieval|MOBA|Swordplay,
